text,president,title,date,label
"the necessity of retrenchment in all branches of the public service. Abuses which were tolerated during the war for the preservation of the nation will not be endured by the people, now that profound peace prevails. The receipts from internal revenues and customs have during the past three years gradually diminished, and the continuance of useless and extravagant expenditures will involve us in national bankruptcy, or else make inevitable an increase of taxes, already too onerous and in many respects",Andrew Johnson,"December 8, 1868: Fourth Annual Message to Congress",1868-12-08T11:46:58-04:56,0
"yield in his department; & from him also you will recieve authority to engage among our troops, by voluntary agreement, the number of attendants above mentioned, over whom you, as their commanding officer, are invested with all the powers the laws give in such a case. As your movements while within the limits of the U.S. will be better directed by occasional communications, adapted to circumstances as they arise, they will not be noticed here. What follows will respect your",Thomas Jefferson,"June 20, 1803: Instructions to Captain Lewis",1803-06-20T13:03:58-04:56,0
"thrift and saving to a great many people of small means who do not now have banking facilities, and to whom such a system would offer an opportunity for the accumulation of capital. They will furnish a satisfactory substitute, based on sound principle and actual successful trial in nearly all the countries of the world, for the system of government guaranty of deposits now being adopted in several western States, which with deference to those who advocate it seems to",William Taft,"December 7, 1909: First Annual Message",1909-12-07T13:00:00-05:00,0
"out. The Nation is not niggardly; it is very generous. It will chide us only if we forget for whom we pay money out and whose money it is we pay. These are large and general standards, but they are not very difficult of application to particular cases.<br /><br />The other topic I shall take leave to mention goes deeper into the principles of our national life and policy. It is the subject of national defense.<br /><br />It can not",Woodrow Wilson,"December 8, 1914: Second Annual Message",1914-12-08T13:00:00-05:00,0
"its notes in the first instance at its own office or at agencies to be designated by it, and that no fixed reserve need be maintained on account of deposits. Another very important feature of this plan is the exemption of State banks from taxation by the United States in cases where it is shown to the satisfaction of the Secretary of the Treasury and Comptroller of the Currency by banks claiming such exemption that they have not had outstanding",Grover Cleveland,"December 3, 1894: Second Annual Message (Second Term)",1894-12-03T13:00:00-05:00,0
"more common now than they were before the Republican party was organized. What induced the Southampton insurrection, twenty-eight years ago, in which, at least three times as many lives were lost as at Harper's Ferry? You can scarcely stretch your very elastic fancy to the conclusion that Southampton was ""got up by Black Republicanism."" In the present state of things in the United States, I do not think a general, or even a very extensive slave insurrection is possible. The",Abraham Lincoln,"February 27, 1860: Cooper Union Address",1860-02-27T13:03:58-04:56,0
"Lee Brown, who was the police chief of Atlanta, of' Houston, of New York, who understands these things. And when the Congress comes back next year, we will be moving forward on that. We need this crime bill now. We ought to give it to the American people for Christmas. And we need to move forward on all these other fronts. But I say to you, my fellow Americans, we need some other things as well. I do not believe",Bill Clinton,"November 13, 1993: Remarks to the Convocation of the Church of God in Christ in Memphis",1993-11-13T13:00:00-05:00,0
"brutality. Probably some form of corporal punishment would be the most adequate way of meeting this kind of crime. The Department of Agriculture has grown into an educational institution with a faculty of two thousand specialists making research into all the sciences of production. The Congress appropriates, directly and indirectly, six millions of dollars annually to carry on this work. It reaches every State and Territory in the Union and the islands of the sea lately come under our flag.",Theodore Roosevelt,"December 6, 1904: Fourth Annual Message",1904-12-06T13:00:00-05:00,0
"Republic for the settlement of claims of the citizens of either country against the other. Under this convention a commission, presided over by a distinguished publicist, appointed in pursuance of the request of both nations by His Majesty the Emperor of Brazil, has been organized and has begun its sessions in this city. A congress to consider means for the protection of industrial property has recently been in session in Paris, to which I have appointed the ministers of the",Rutherford B. Hayes,"December 6, 1880: Fourth Annual Message",1880-12-06T13:03:58-04:56,0
"are agreed, I take it, that holding companies should be prohibited, but what of the controlling private ownership of individuals or actually cooperative groups of individuals? Shall the private owners of capital stock be suffered to be themselves in effect holding companies? We do not wish, I suppose, to forbid the purchase of stocks by any person who pleases to buy them in such quantities as he can afford, or in any way arbitrarily to limit the sale of stocks",Woodrow Wilson,"January 20, 1914: Address to a Joint Session of Congress on Trusts and Monopolies",1914-01-20T13:00:00-05:00,0
"the same time fully protecting the constitutional rights of all citizens.</span> <p class=""p1""><span class=""s1"">A third objective of the Administration is:</span> <p class=""p1""><span class=""s1"">FISCAL INTEGRITY</span> <p class=""p1""><span class=""s1"">A public office is, indeed, a public trust. None of its aspects is more demanding than the proper management of the public finances. I refer now not only to the indispensable virtues of plain honesty and trustworthiness but also to the prudent, effective and conscientious use of tax money. I refer also to the",Dwight D. Eisenhower,"January 5, 1956: State of the Union Address",1956-01-05T10:00:00-05:00,0
"changes are deemed necessary to enable the bureau to retain that high grade of professional talent essential in handling the problems of the bureau. Such changes as tend toward the improvement of service and the carrying forward to completion of the hospital construction program are recommended for the consideration of the proper committees of Congress. With the enormous outlay that is now being made in behalf of the veterans and their dependents, with a tremendous war debt still requiring great",Calvin Coolidge,"December 8, 1925: Third Annual Message",1925-12-08T13:00:00-05:00,0
"To the Senate and House of Representatives:<br /> In accord with my constitutional duty, I transmit herewith to the Congress information upon the state of the Union together with recommendation of measures for its consideration.<br /> Our country is at peace. Our national defense has been maintained at a high state of effectiveness. All of the executive departments of the Government have been conducted during the year with a high devotion to public interest. There has been a far larger",Herbert Hoover,"December 6, 1932: Fourth State of the Union Address",1932-12-06T12:15:00-05:00,0
"ought to be paying to millions of parents who are taking care of their children. If we value strong families, we can't perpetuate a system that actually penalizes those who stay together. Can you believe that a child who has a child gets more money from the government for leaving home than for staying home with a parent or a grandparent? That's not just bad policy, it's wrong. And we ought to change it.<br /> I worked on this problem",Bill Clinton,"January 25, 1994: State of the Union Address",1994-01-25T13:00:00-05:00,1
"as may seem to be demanded by the present favorable conditions for the growth and rapid development of this important interest. The abuse of animals in transit is widely attracting public attention. A national convention of societies specially interested in the subject has recently met at Baltimore, and the facts developed, both in regard to cruelties to animals and the effect of such cruelties upon the public health, would seem to demand the careful consideration of Congress and the enactment",Rutherford B. Hayes,"December 2, 1878: Second Annual Message",1878-12-02T13:03:58-04:56,0
"is enforced as it is now phrased, render useless for passenger traffic and expose to heavy loss all of the great ocean steam lines; and it will also hinder emigration, as there will not be ships enough that could accept these conditions to carry all who may now wish to come.<br /> The use of the new and the hitherto unknown term ""uppermost deck"" creates this difficulty, and I can not consent to have an abuse of terms like this",Chester A. Arthur,"July 1, 1882: Veto of Safety Regulations Bill",1882-07-01T15:08:58-04:56,0
"I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume. As the expression of their good opinion of my conduct in the public service, I derive from it a gratification which those who are conscious of having done all that they could to merit it can alone feel. My sensibility is",James Monroe,"March 4, 1817: First Inaugural Address",1817-03-04T13:03:58-04:56,0
"to the countries of Eastern Europe. Despite the appeals of this Government, the Czechoslovakian Government has sentenced an American citizen to what we believe to be a rather harsh punishment. How does this affect your thinking on building these bridges to the Communist Eastern European countries? THE PRESIDENT. There are many obstacles that come in the way in our attempt to reach all of our objectives. I regret very much the incident to which your refer. I am very hopeful",Lyndon B. Johnson,"February 2, 1967: Press Conference",1967-02-02T13:00:00-05:00,0
"like what is proposed. Already, they are grossly distorting our purpose. However, before this Americans have seen our nation's vital interests and human freedom in jeopardy, and their fortitude and resolution have been equal to the crisis, regardless of hostile distortion of our words, motives and actions.<br /> Indeed, the sacrifices of the American people in the cause of freedom have, even since the close of World War II, been measured in many billions of dollars and in thousands of",Dwight D. Eisenhower,"January 5, 1957: Eisenhower Doctrine",1957-01-05T13:00:00-05:00,0
"such get possession of those offices, to be lax in their scrutiny of goods entered, to enable them finally to make large seizures. Your attention is respectfully invited to this subject.<br /> Continued fluctuations in the value of gold, as compared with the national currency, has a most damaging effect upon the increase and development of the country, in keeping up prices of all articles necessary in everyday life. It fosters a spirit of gambling, prejudicial alike to national morals",Ulysses S. Grant,"December 4, 1871: Third Annual Message",1871-12-04T13:03:58-04:56,0
"little fanfare the Congress and the executive branch moved in that field. We enacted the Wholesome Meat Act, the Flammable Fabrics Act, the Product Safety Commission, and a law to improve clinical laboratories. And now, I think, the time has come to complete our unfinished work. The Senate has already passed the truth-in-lending bill, the fire safety bill, and the pipeline safety laws. Tonight I plead with the House to immediately act upon these measures and I hope take favorable",Lyndon B. Johnson,"January 17, 1968: State of the Union Address",1968-01-17T13:00:00-05:00,0
"the consequences of the policy, and those consequences from time to time alter. It is out of the question to claim a right and yet shirk the responsibility for its exercise. Not only we, but all American republics who are benefited by the existence of the doctrine, must recognize the obligations each nation is under as regards foreign peoples no less than its duty to insist upon its own rights. That our rights and interests are deeply concerned in the",Theodore Roosevelt,"December 5, 1905: Fifth Annual Message",1905-12-05T13:00:00-05:00,0
"effective today. I will be glad to take any questions. Q. Mr. President, in view of the recent statements and speeches which either differ with your Vietnam policy or suggest major changes in it, are you considering any effort to de-escalate these apparent differences with such people as the Senators Kennedy and people who believe as they do? THE PRESIDENT. Mr. Smith, we have help and suggestions from Members of the Senate, and from leaders in public life throughout the",Lyndon B. Johnson,"March 9, 1967: Press Conference",1967-03-09T13:00:00-05:00,0
"to know about the word “momentum.” But the big thing, never quit, never give up; do something you love. When you do something you love as a Scout, I see that you love it. But when you do something that you love, you’ll never fail. What you’re going to do is give it a shot again and again and again. You’re ultimately going to be successful. And remember this, you’re not working. Because when you’re doing something that you love,",Donald Trump,"July 24, 2017: Speech at the Boy Scout Jamboree ",2017-07-24T19:00:00-04:00,0
"Members of the Congress: In meeting the constitutional requirement of informing the Congress upon the state of the Union, it is exceedingly gratifying to report that the general condition is one of progress and prosperity. Here and there are comparatively small and apparently temporary difficulties needing adjustment and improved administrative methods, such as are always to be expected, but i ii the fundamentals of government and business the results demonstrate that we are going in the right direction. The country",Calvin Coolidge,"December 8, 1925: Third Annual Message",1925-12-08T13:00:00-05:00,0
"it from the decisions that we make on issues of war and peace -- then we lose what's best about humanity.&nbsp; We lose our sense of possibility.&nbsp; We lose our moral compass.<br /> &nbsp;<br /> Like generations have before us, we must reject that future.&nbsp; As Dr. King said at this occasion so many years ago, ""I refuse to accept despair as the final response to the ambiguities of history.&nbsp; I refuse to accept the idea that the 'isness' of",Barack Obama,"December 10, 2009: Acceptance of Nobel Peace Prize",2009-12-10T01:00:00-05:00,0
"a source of supply as near as Canada would certainly help to prevent speculative fluctuations, would steady local price movements, and would postpone the effect of a further world increase in the price of leading commodities entering into the cost of living, if that be inevitable.<br /> In the reciprocal trade agreement numerous additions are made to the free list. These include not only food commodities, such as cattle, fish, wheat and other grains, fresh vegetables, fruits, and dairy products,",William Taft,"January 26, 1911: Message Regarding US-Canadian Relations",1911-01-26T18:21:00-05:00,0
"Justice is assembling a dedicated task force to go after the crimes of Russian oligarchs.&nbsp;&nbsp; We are joining with our European allies to find and seize your yachts, your luxury apartments, your private jets. We are coming for your ill-begotten gains.&nbsp; And tonight, I am announcing that we will join our allies in closing off American air space to all Russian flights—further isolating Russia and adding an additional squeeze on their economy. The Ruble has lost 30 percent of its",Joe Biden,"March 1, 2022: State of the Union Address",2022-03-01T21:00:00-05:00,1
"the dangers of retaliation.&nbsp; We don’t dismiss any threats, but the Assad regime does not have the ability to seriously threaten our military.&nbsp; Any other retaliation they might seek is in line with threats that we face every day.&nbsp; Neither Assad nor his allies have any interest in escalation that would lead to his demise.&nbsp; And our ally, Israel, can defend itself with overwhelming force, as well as the unshakeable support of the United States of America. Many of you",Barack Obama,"September 10, 2013: Address to the Nation on Syria",2013-09-10T02:00:00-04:00,0
of action in turn for the other States.<br /> Upon the examination of Mr. Stanton before the Impeachment Committee he was asked the following question:<br /> &ldquo;Did any one of the Cabinet express a doubt of the power of the executive branch of the Government to reorganize State governments which had been in rebellion without the aid of Congress?&rdquo;<br /> He answered:<br /> &ldquo;None whatever. I had myself entertained no doubt of the authority of the President to take measures,Andrew Johnson,"December 12, 1867: Message Regarding the Suspension of Secretary Stanton",1867-12-12T11:07:58-04:56,0
